sample,outcome,spec,term,b,se,p,N,households,counties
full,asinh_farm_income,stage,stage3_vs0,.2637894769031431,.13351233,.057441849,10069,1760,31
full,asinh_operated_area_end,fixed_threshold,completion_rate0,.063223694507494,.039526101,.12018016,8657,1591,31
full,asinh_operated_area_end,fixed_threshold,mature_any,.0518524110891501,.03562475,.15591191,8657,1591,31
full,asinh_operated_area_end,fixed_threshold,mature_high,.0657949936774385,.036951769,.085113995,8657,1591,31
full,asinh_operated_area_end,fixed_threshold,mature_mid,.0574752970540571,.036188159,.12271833,8657,1591,31
full,asinh_operated_area_end,fixed_threshold,years_since_high,.0624267235184382,.0331126,.069109529,8657,1591,31
full,asinh_operated_area_end,stage,stage1_vs0,-.018220297881113,.041041274,.66026413,8657,1591,31
full,asinh_operated_area_end,stage,stage2_vs0,.0306989111578401,.059511688,.60974264,8657,1591,31
full,asinh_operated_area_end,stage,stage3_minus_stage1,.0853485488590269,.041470014,.048361283,8657,1591,31
full,asinh_operated_area_end,stage,stage3_minus_stage2,.0364293398200738,.063635513,.57127017,8657,1591,31
full,asinh_operated_area_end,stage,stage3_vs0,.0671282509779139,.039247736,.097521357,8657,1591,31
full,asinh_transfer_in_area_z,fixed_threshold,completion_rate0,-.0384358836770956,.020387124,.069107316,11307,1907,31
full,asinh_transfer_in_area_z,fixed_threshold,mature_any,-.0344720900580895,.018293856,.069239751,11307,1907,31
full,asinh_transfer_in_area_z,fixed_threshold,mature_high,-.0301949341788154,.019707663,.13596611,11307,1907,31
full,asinh_transfer_in_area_z,fixed_threshold,mature_mid,-.0364111944853475,.018585794,.059453953,11307,1907,31
full,asinh_transfer_in_area_z,fixed_threshold,years_since_high,-.0277421280188855,.018513376,.14445555,11307,1907,31
full,asinh_transfer_in_area_z,stage,stage1_vs0,.0133864893001214,.0081568891,.11121534,11307,1907,31
full,asinh_transfer_in_area_z,stage,stage2_vs0,-.0455087376325602,.021209339,.040110026,11307,1907,31
full,asinh_transfer_in_area_z,stage,stage3_minus_stage1,-.0459900267463285,.016248545,.008217237,11307,1907,31
full,asinh_transfer_in_area_z,stage,stage3_minus_stage2,.0129052001863531,.019684358,.51707369,11307,1907,31
full,asinh_transfer_in_area_z,stage,stage3_vs0,-.0326035374462071,.020602932,.12402896,11307,1907,31
full,farm_income_share,fixed_threshold,completion_rate0,.0115663727871742,.035149891,.7443977,10069,1760,31
full,farm_income_share,fixed_threshold,mature_any,.0227800121043386,.031245982,.47162235,10069,1760,31
full,farm_income_share,fixed_threshold,mature_high,.0232268126873217,.033990797,.4996444,10069,1760,31
full,farm_income_share,fixed_threshold,mature_mid,.0081554206282047,.031688474,.79865617,10069,1760,31
full,farm_income_share,fixed_threshold,years_since_high,.0198063191832743,.035584487,.5819295,10069,1760,31
full,farm_income_share,stage,stage1_vs0,.1879580067959899,.02410973,1.0656394e-08,10069,1760,31
full,farm_income_share,stage,stage2_vs0,-.0287912489907037,.051779047,.58230698,10069,1760,31
full,farm_income_share,stage,stage3_minus_stage1,-.1538140207741006,.024083352,4.7552871e-07,10069,1760,31
full,farm_income_share,stage,stage3_minus_stage2,.062935235012593,.053353898,.24743694,10069,1760,31
full,farm_income_share,stage,stage3_vs0,.0341439860218893,.03443953,.32941082,10069,1760,31
long,any_transfer_in_zfill,fixed_threshold,completion_rate0,-.0163360817756815,.022171987,.47025129,2287,276,20
long,any_transfer_in_zfill,fixed_threshold,mature_any,-.0154160566550729,.019875191,.44750723,2287,276,20
long,any_transfer_in_zfill,fixed_threshold,mature_high,-.0068617703956872,.022070277,.75925761,2287,276,20
long,any_transfer_in_zfill,fixed_threshold,mature_mid,-.0165220791921321,.019804297,.41449681,2287,276,20
long,any_transfer_in_zfill,fixed_threshold,years_since_high,-.0033068910741331,.019651059,.868141,2287,276,20
long,any_transfer_in_zfill,stage,stage1_vs0,.0086898298874146,.011871985,.47312513,2287,276,20
long,any_transfer_in_zfill,stage,stage2_vs0,-.0390477191148748,.025740845,.14574043,2287,276,20
long,any_transfer_in_zfill,stage,stage3_minus_stage1,-.0161482055146873,.013945553,.26123497,2287,276,20
long,any_transfer_in_zfill,stage,stage3_minus_stage2,.0315893434876021,.028701399,.28481108,2287,276,20
long,any_transfer_in_zfill,stage,stage3_vs0,-.0074583756272727,.023688506,.75630552,2287,276,20
long,asinh_farm_income,fixed_threshold,completion_rate0,.0913557708487309,.17634737,.61040735,1987,259,20
long,asinh_farm_income,fixed_threshold,mature_any,.1714803776167578,.13344914,.21424158,1987,259,20
long,asinh_farm_income,fixed_threshold,mature_high,.1204354865028626,.19628292,.54676849,1987,259,20
long,asinh_farm_income,fixed_threshold,mature_mid,.0809690549721376,.14728296,.58889419,1987,259,20
long,asinh_farm_income,fixed_threshold,years_since_high,.0726623963102443,.19053043,.70716077,1987,259,20
long,asinh_farm_income,stage,stage1_vs0,.6281906427995587,.1277665,.000095778589,1987,259,20
long,asinh_farm_income,stage,stage2_vs0,-.0255076307970263,.088779435,.77698153,1987,259,20
long,asinh_farm_income,stage,stage3_minus_stage1,-.4106392301978845,.10849582,.0012523643,1987,259,20
long,asinh_farm_income,stage,stage3_minus_stage2,.2430590433987006,.17502783,.18099335,1987,259,20
long,asinh_farm_income,stage,stage3_vs0,.2175514126016743,.18382557,.25122067,1987,259,20
long,asinh_operated_area_end,fixed_threshold,completion_rate0,.114021632569407,.036610171,.0057078167,1710,231,20
long,asinh_operated_area_end,fixed_threshold,mature_any,.0950595302250081,.034827631,.013315212,1710,231,20
long,asinh_operated_area_end,fixed_threshold,mature_high,.1256626019908688,.045642186,.012646579,1710,231,20
long,asinh_operated_area_end,fixed_threshold,mature_mid,.0989180799929058,.032582611,.0067982841,1710,231,20
long,asinh_operated_area_end,fixed_threshold,years_since_high,.1082040388383384,.041408908,.017101508,1710,231,20
long,asinh_operated_area_end,stage,stage1_vs0,.0552380831577914,.063510761,.39529571,1710,231,20
long,asinh_operated_area_end,stage,stage2_vs0,.0309586505958133,.050224781,.54494464,1710,231,20
long,asinh_operated_area_end,stage,stage3_minus_stage1,.0822652985959396,.03992882,.053332768,1710,231,20
long,asinh_operated_area_end,stage,stage3_minus_stage2,.1065447311579177,.084567264,.22296812,1710,231,20
long,asinh_operated_area_end,stage,stage3_vs0,.137503381753731,.050756738,.013914327,1710,231,20
long,asinh_transfer_in_area_z,fixed_threshold,completion_rate0,-.0503895445868486,.022078311,.03416739,2287,276,20
long,asinh_transfer_in_area_z,fixed_threshold,mature_any,-.0429703613253429,.019613899,.041135535,2287,276,20
long,asinh_transfer_in_area_z,fixed_threshold,mature_high,-.0423622060913863,.021448556,.062972277,2287,276,20
long,asinh_transfer_in_area_z,fixed_threshold,mature_mid,-.0461101676782909,.019867234,.031567853,2287,276,20
long,asinh_transfer_in_area_z,fixed_threshold,years_since_high,-.0352510334699833,.019305365,.083612956,2287,276,20
long,asinh_transfer_in_area_z,stage,stage1_vs0,.0052694362108353,.010793515,.63099205,2287,276,20
long,asinh_transfer_in_area_z,stage,stage2_vs0,-.0505346548271209,.026273556,.069545127,2287,276,20
long,asinh_transfer_in_area_z,stage,stage3_minus_stage1,-.0491666785754566,.016128313,.0066113863,2287,276,20
long,asinh_transfer_in_area_z,stage,stage3_minus_stage2,.0066374124624996,.026697528,.80632585,2287,276,20
long,asinh_transfer_in_area_z,stage,stage3_vs0,-.0438972423646213,.022697954,.068152674,2287,276,20
long,farm_income_share,fixed_threshold,completion_rate0,.046236757385402,.055882771,.41828796,1987,259,20
long,farm_income_share,fixed_threshold,mature_any,.0767990458920057,.039853435,.069063649,1987,259,20
long,farm_income_share,fixed_threshold,mature_high,.0459025446251206,.056810625,.42909583,1987,259,20
long,farm_income_share,fixed_threshold,mature_mid,.0433835383977037,.047166862,.36921415,1987,259,20
long,farm_income_share,fixed_threshold,years_since_high,.034954911348004,.061583247,.57694989,1987,259,20
long,farm_income_share,stage,stage1_vs0,.228711001830942,.025548266,3.0342161e-08,1987,259,20
long,farm_income_share,stage,stage2_vs0,.0282557067825717,.041425668,.50341809,1987,259,20
long,farm_income_share,stage,stage3_minus_stage1,-.1454423329703319,.035063535,.00054650323,1987,259,20
long,farm_income_share,stage,stage3_minus_stage2,.0550129620780384,.037857864,.16250095,1987,259,20
long,farm_income_share,stage,stage3_vs0,.0832686688606101,.047685664,.096925005,1987,259,20
overlap,any_transfer_in_zfill,fixed_threshold,completion_rate0,-.0106036091588769,.014190809,.4609488,3707,500,30
overlap,any_transfer_in_zfill,fixed_threshold,mature_any,-.0106833127748138,.013229994,.42594853,3707,500,30
overlap,any_transfer_in_zfill,fixed_threshold,mature_high,-.0040956803660779,.012828951,.75182313,3707,500,30
overlap,any_transfer_in_zfill,fixed_threshold,mature_mid,-.0115174123986405,.013241319,.3915478,3707,500,30
overlap,any_transfer_in_zfill,fixed_threshold,years_since_high,-.0028922237034206,.011938698,.8102867,3707,500,30
overlap,any_transfer_in_zfill,stage,stage1_vs0,.0109431247464492,.0070344731,.13064018,3707,500,30
overlap,any_transfer_in_zfill,stage,stage2_vs0,-.027410441052283,.020865496,.19925459,3707,500,30
overlap,any_transfer_in_zfill,stage,stage3_minus_stage1,-.0164687578402747,.010163762,.11598385,3707,500,30
overlap,any_transfer_in_zfill,stage,stage3_minus_stage2,.0218848079584576,.01882861,.25458327,3707,500,30
overlap,any_transfer_in_zfill,stage,stage3_vs0,-.0055256330938255,.013780424,.69137627,3707,500,30
overlap,asinh_farm_income,fixed_threshold,completion_rate0,.2038175336652715,.1407156,.158222,3285,471,30
overlap,asinh_farm_income,fixed_threshold,mature_any,.2124955119105021,.12195289,.092028938,3285,471,30
overlap,asinh_farm_income,fixed_threshold,mature_high,.2319266045990277,.13232879,.090229325,3285,471,30
overlap,asinh_farm_income,fixed_threshold,mature_mid,.1754421134212342,.12630685,.17540349,3285,471,30
overlap,asinh_farm_income,fixed_threshold,years_since_high,.1993833877044069,.13200477,.14175524,3285,471,30
overlap,asinh_farm_income,stage,stage1_vs0,.5584732661095081,.091643795,1.2312586e-06,3285,471,30
overlap,asinh_farm_income,stage,stage2_vs0,.0122091905990992,.14384824,.93294364,3285,471,30
overlap,asinh_farm_income,stage,stage3_minus_stage1,-.2849050018587135,.111059,.01574303,3285,471,30
overlap,asinh_farm_income,stage,stage3_minus_stage2,.2613590736516954,.1376138,.067523845,3285,471,30
overlap,asinh_farm_income,stage,stage3_vs0,.2735682642507946,.13675849,.054900937,3285,471,30
overlap,asinh_operated_area_end,fixed_threshold,completion_rate0,.0767284822990153,.038092367,.053677831,2811,437,29
overlap,asinh_operated_area_end,fixed_threshold,mature_any,.0628408938883312,.034724936,.081093505,2811,437,29
overlap,asinh_operated_area_end,fixed_threshold,mature_high,.0761685288256322,.035538722,.040923871,2811,437,29
overlap,asinh_operated_area_end,fixed_threshold,mature_mid,.0684872942980319,.035306294,.062537432,2811,437,29
overlap,asinh_operated_area_end,fixed_threshold,years_since_high,.0701388768157624,.032262363,.038313329,2811,437,29
overlap,asinh_operated_area_end,stage,stage1_vs0,-.010403908574715,.039635081,.79486352,2811,437,29
overlap,asinh_operated_area_end,stage,stage2_vs0,.0401425048808367,.059956625,.50864404,2811,437,29
overlap,asinh_operated_area_end,stage,stage3_minus_stage1,.0898325145656234,.041058451,.037183244,2811,437,29
overlap,asinh_operated_area_end,stage,stage3_minus_stage2,.0392861011100717,.063404724,.54052538,2811,437,29
overlap,asinh_operated_area_end,stage,stage3_vs0,.0794286059909084,.037514728,.043252107,2811,437,29
overlap,asinh_transfer_in_area_z,fixed_threshold,completion_rate0,-.0364908278899793,.020850221,.090669267,3707,500,30
overlap,asinh_transfer_in_area_z,fixed_threshold,mature_any,-.0326233741144716,.018621333,.090354919,3707,500,30
overlap,asinh_transfer_in_area_z,fixed_threshold,mature_high,-.028518413198874,.020075854,.16611575,3707,500,30
overlap,asinh_transfer_in_area_z,fixed_threshold,mature_mid,-.0346283796229427,.01892264,.077547483,3707,500,30
overlap,asinh_transfer_in_area_z,fixed_threshold,years_since_high,-.0262636986276366,.01877155,.17238156,3707,500,30
overlap,asinh_transfer_in_area_z,stage,stage1_vs0,.0141768360678712,.0082366206,.095868878,3707,500,30
overlap,asinh_transfer_in_area_z,stage,stage2_vs0,-.0430597052014586,.020996828,.049422037,3707,500,30
overlap,asinh_transfer_in_area_z,stage,stage3_minus_stage1,-.0451283323108851,.016412666,.010164834,3707,500,30
overlap,asinh_transfer_in_area_z,stage,stage3_minus_stage2,.0121082089584447,.019467255,.5388158,3707,500,30
overlap,asinh_transfer_in_area_z,stage,stage3_vs0,-.0309514962430139,.021066576,.15253791,3707,500,30
overlap,farm_income_share,fixed_threshold,completion_rate0,.0141551357768337,.036071427,.69761765,3285,471,30
overlap,farm_income_share,fixed_threshold,mature_any,.0252796388771594,.03194268,.43513241,3285,471,30
overlap,farm_income_share,fixed_threshold,mature_high,.0256634279458171,.034477722,.46265525,3285,471,30
overlap,farm_income_share,fixed_threshold,mature_mid,.0101921924222287,.032411877,.75542402,3285,471,30
overlap,farm_income_share,fixed_threshold,years_since_high,.0217109208201043,.036115263,.55240619,3285,471,30
overlap,farm_income_share,stage,stage1_vs0,.1894892222390026,.024363764,1.4113244e-08,3285,471,30
overlap,farm_income_share,stage,stage2_vs0,-.027150669480074,.052527223,.60915452,3285,471,30
overlap,farm_income_share,stage,stage3_minus_stage1,-.1525670224505552,.02436783,7.8034833e-07,3285,471,30
overlap,farm_income_share,stage,stage3_minus_stage2,.0640728692685214,.05369956,.24247216,3285,471,30
overlap,farm_income_share,stage,stage3_vs0,.0369221997884474,.035091076,.30140477,3285,471,30
